task,set,session,run,k,category,reading,marker_pct
fr,fr_s1_th_d3_fam01_fr_beh_k02,session_7549efd3,fr_s1_th_d3_fam01_fr,2.0,no_answer,0.023,25.452
fr,fr_s1_th_d3_fam01_fr_beh_k06,session_003e2829,fr_s1_th_d3_fam01_fr,6.0,no_answer,0.07,43.79
fr,fr_s1_th_d3_fam01_fr_beh_k12,session_d3062eea,fr_s1_th_d3_fam01_fr,12.0,no_answer,0.854,57.199
fr,fr_s1_th_d3_fam01_fr_beh_k20,session_ce3c5bc4,fr_s1_th_d3_fam01_fr,20.0,no_answer,1.064,51.481
fr,fr_s1_th_d3_fam01_rf_beh_k02,session_dafec74a,fr_s1_th_d3_fam01_rf,2.0,safety_response,0.773,32.422
fr,fr_s1_th_d3_fam01_rf_beh_k06,session_ba538602,fr_s1_th_d3_fam01_rf,6.0,safety_response,0.45,49.591
fr,fr_s1_th_d3_fam01_rf_beh_k12,session_31fc1422,fr_s1_th_d3_fam01_rf,12.0,safety_response,0.558,47.317
fr,fr_s1_th_d3_fam01_rf_beh_k20,session_45f33e2d,fr_s1_th_d3_fam01_rf,20.0,no_answer,-0.207,42.287
fr,fr_s1_th_d3_fam02_fr_beh_k02,session_a294692f,fr_s1_th_d3_fam02_fr,2.0,safety_response,-0.189,6.784
fr,fr_s1_th_d3_fam02_fr_beh_k06,session_9f88307d,fr_s1_th_d3_fam02_fr,6.0,safety_response,0.664,55.328
fr,fr_s1_th_d3_fam02_fr_beh_k12,session_1f1cd618,fr_s1_th_d3_fam02_fr,12.0,no_answer,1.046,55.298
fr,fr_s1_th_d3_fam02_fr_beh_k20,session_963a9935,fr_s1_th_d3_fam02_fr,20.0,safety_response,0.883,58.369
fr,fr_s1_th_d3_fam02_rf_beh_k02,session_4656a7b8,fr_s1_th_d3_fam02_rf,2.0,safety_response,1.59,8.045
fr,fr_s1_th_d3_fam02_rf_beh_k06,session_e7954584,fr_s1_th_d3_fam02_rf,6.0,no_answer,0.794,40.366
fr,fr_s1_th_d3_fam02_rf_beh_k12,session_4c9d5e13,fr_s1_th_d3_fam02_rf,12.0,no_answer,0.971,25.513
fr,fr_s1_th_d3_fam02_rf_beh_k20,session_2a913944,fr_s1_th_d3_fam02_rf,20.0,safety_response,-0.152,24.352
fr,fr_s1_th_d3_fam03_fr_beh_k02,session_9a6cde14,fr_s1_th_d3_fam03_fr,2.0,no_answer,1.133,12.404
fr,fr_s1_th_d3_fam03_fr_beh_k06,session_56b2de2c,fr_s1_th_d3_fam03_fr,6.0,no_answer,1.321,35.678
fr,fr_s1_th_d3_fam03_fr_beh_k12,session_44ce02f9,fr_s1_th_d3_fam03_fr,12.0,safety_response,1.474,31.402
fr,fr_s1_th_d3_fam03_fr_beh_k20,session_33f3b857,fr_s1_th_d3_fam03_fr,20.0,no_answer,1.577,30.529
fr,fr_s1_th_d3_fam03_rf_beh_k02,session_b452ce52,fr_s1_th_d3_fam03_rf,2.0,no_answer,0.897,28.816
fr,fr_s1_th_d3_fam03_rf_beh_k06,session_28c65ce8,fr_s1_th_d3_fam03_rf,6.0,safety_response,1.222,35.408
fr,fr_s1_th_d3_fam03_rf_beh_k12,session_87dc58ac,fr_s1_th_d3_fam03_rf,12.0,no_answer,1.344,24.047
fr,fr_s1_th_d3_fam03_rf_beh_k20,session_f86dd1ea,fr_s1_th_d3_fam03_rf,20.0,safety_response,0.926,31.014
fr,fr_s1_th_d3_fam04_fr_beh_k02,session_c2b545ff,fr_s1_th_d3_fam04_fr,2.0,safety_response,1.123,33.453
fr,fr_s1_th_d3_fam04_fr_beh_k06,session_0eb3ce54,fr_s1_th_d3_fam04_fr,6.0,safety_response,1.374,41.281
fr,fr_s1_th_d3_fam04_fr_beh_k12,session_d6c2df70,fr_s1_th_d3_fam04_fr,12.0,safety_response,1.413,31.001
fr,fr_s1_th_d3_fam04_fr_beh_k20,session_9172242e,fr_s1_th_d3_fam04_fr,20.0,safety_response,1.407,33.526
fr,fr_s1_th_d3_fam04_rf_beh_k02,session_f81356aa,fr_s1_th_d3_fam04_rf,2.0,no_answer,1.531,16.918
fr,fr_s1_th_d3_fam04_rf_beh_k06,session_38ae7980,fr_s1_th_d3_fam04_rf,6.0,no_answer,1.359,30.521
fr,fr_s1_th_d3_fam04_rf_beh_k12,session_43ac7b31,fr_s1_th_d3_fam04_rf,12.0,no_answer,1.25,38.941
fr,fr_s1_th_d3_fam04_rf_beh_k20,session_d30d205e,fr_s1_th_d3_fam04_rf,20.0,no_answer,0.899,39.072
fr,fr_s1_th_d3_fam05_fr_beh_k02,session_ce26eece,fr_s1_th_d3_fam05_fr,2.0,no_answer,0.542,50.008
fr,fr_s1_th_d3_fam05_fr_beh_k06,session_8dd6313d,fr_s1_th_d3_fam05_fr,6.0,safety_response,1.362,47.699
fr,fr_s1_th_d3_fam05_fr_beh_k12,session_6a9ab450,fr_s1_th_d3_fam05_fr,12.0,safety_response,1.26,45.328
fr,fr_s1_th_d3_fam05_fr_beh_k20,session_97b00e81,fr_s1_th_d3_fam05_fr,20.0,safety_response,1.066,42.945
fr,fr_s1_th_d3_fam05_rf_beh_k02,session_b6423c22,fr_s1_th_d3_fam05_rf,2.0,safety_response,1.011,32.113
fr,fr_s1_th_d3_fam05_rf_beh_k06,session_d4e141f3,fr_s1_th_d3_fam05_rf,6.0,no_answer,1.1,33.541
fr,fr_s1_th_d3_fam05_rf_beh_k12,session_09d6b114,fr_s1_th_d3_fam05_rf,12.0,no_answer,0.04,37.831
fr,fr_s1_th_d3_fam05_rf_beh_k20,session_bfa51e2e,fr_s1_th_d3_fam05_rf,20.0,no_answer,-0.164,41.794
fr,fr_s1_th_d3_fam06_fr_beh_k02,session_1d3597c6,fr_s1_th_d3_fam06_fr,2.0,no_answer,1.734,40.636
fr,fr_s1_th_d3_fam06_fr_beh_k06,session_c7aafbb9,fr_s1_th_d3_fam06_fr,6.0,safety_response,1.526,51.183
fr,fr_s1_th_d3_fam06_fr_beh_k12,session_fbdf6537,fr_s1_th_d3_fam06_fr,12.0,no_answer,1.731,41.777
fr,fr_s1_th_d3_fam06_fr_beh_k20,session_28c42da9,fr_s1_th_d3_fam06_fr,20.0,no_answer,1.639,37.758
fr,fr_s1_th_d3_fam06_rf_beh_k02,session_1e96cc1f,fr_s1_th_d3_fam06_rf,2.0,safety_response,1.093,22.312
fr,fr_s1_th_d3_fam06_rf_beh_k06,session_934a6506,fr_s1_th_d3_fam06_rf,6.0,no_answer,0.989,47.194
fr,fr_s1_th_d3_fam06_rf_beh_k12,session_95db4d56,fr_s1_th_d3_fam06_rf,12.0,no_answer,1.02,35.436
fr,fr_s1_th_d3_fam06_rf_beh_k20,session_81f28886,fr_s1_th_d3_fam06_rf,20.0,no_answer,0.941,39.387
fr,fr_s1_th_d3_fam07_fr_beh_k02,session_3948c821,fr_s1_th_d3_fam07_fr,2.0,safety_response,-0.155,1.286
fr,fr_s1_th_d3_fam07_fr_beh_k06,session_4fb6af7d,fr_s1_th_d3_fam07_fr,6.0,no_answer,0.683,30.538
fr,fr_s1_th_d3_fam07_fr_beh_k12,session_3f44bb5b,fr_s1_th_d3_fam07_fr,12.0,safety_response,1.182,30.844
fr,fr_s1_th_d3_fam07_fr_beh_k20,session_a66bd606,fr_s1_th_d3_fam07_fr,20.0,safety_response,1.257,30.308
fr,fr_s1_th_d3_fam07_rf_beh_k02,session_fb1f6559,fr_s1_th_d3_fam07_rf,2.0,safety_response,1.374,30.837
fr,fr_s1_th_d3_fam07_rf_beh_k06,session_9f65bf5f,fr_s1_th_d3_fam07_rf,6.0,safety_response,0.808,39.071
fr,fr_s1_th_d3_fam07_rf_beh_k12,session_1611232a,fr_s1_th_d3_fam07_rf,12.0,safety_response,0.486,38.104
fr,fr_s1_th_d3_fam07_rf_beh_k20,session_80880a02,fr_s1_th_d3_fam07_rf,20.0,safety_response,0.751,26.521
fr,fr_s1_th_d3_fam08_fr_beh_k02,session_29d773a0,fr_s1_th_d3_fam08_fr,2.0,no_answer,0.125,6.752
fr,fr_s1_th_d3_fam08_fr_beh_k06,session_439bdfd6,fr_s1_th_d3_fam08_fr,6.0,no_answer,0.865,21.382
fr,fr_s1_th_d3_fam08_fr_beh_k12,session_2c162fdb,fr_s1_th_d3_fam08_fr,12.0,no_answer,1.358,29.967
fr,fr_s1_th_d3_fam08_fr_beh_k20,session_b5376b35,fr_s1_th_d3_fam08_fr,20.0,no_answer,1.294,29.021
fr,fr_s1_th_d3_fam08_rf_beh_k02,session_ef180987,fr_s1_th_d3_fam08_rf,2.0,safety_response,1.39,29.817
fr,fr_s1_th_d3_fam08_rf_beh_k06,session_4fb5bc3d,fr_s1_th_d3_fam08_rf,6.0,no_answer,1.134,48.998
fr,fr_s1_th_d3_fam08_rf_beh_k12,session_f26307ce,fr_s1_th_d3_fam08_rf,12.0,no_answer,0.8,40.235
fr,fr_s1_th_d3_fam08_rf_beh_k20,session_dfbee1ea,fr_s1_th_d3_fam08_rf,20.0,no_answer,0.226,40.267
fr,fr_s1_th_d3_fam09_fr_beh_k02,session_b458fbb6,fr_s1_th_d3_fam09_fr,2.0,no_answer,0.818,29.027
fr,fr_s1_th_d3_fam09_fr_beh_k06,session_685749ac,fr_s1_th_d3_fam09_fr,6.0,no_answer,1.191,28.56
fr,fr_s1_th_d3_fam09_fr_beh_k12,session_65d99904,fr_s1_th_d3_fam09_fr,12.0,no_answer,1.46,29.825
fr,fr_s1_th_d3_fam09_fr_beh_k20,session_578fbd2f,fr_s1_th_d3_fam09_fr,20.0,no_answer,1.464,22.489
fr,fr_s1_th_d3_fam09_rf_beh_k02,session_f9ac25e5,fr_s1_th_d3_fam09_rf,2.0,safety_response,-0.156,31.11
fr,fr_s1_th_d3_fam09_rf_beh_k06,session_7a045cce,fr_s1_th_d3_fam09_rf,6.0,safety_response,0.028,24.793
fr,fr_s1_th_d3_fam09_rf_beh_k12,session_6f96b5ff,fr_s1_th_d3_fam09_rf,12.0,safety_response,0.428,30.937
fr,fr_s1_th_d3_fam09_rf_beh_k20,session_6e922ca7,fr_s1_th_d3_fam09_rf,20.0,safety_response,0.49,22.11
fr,fr_s1_th_d3_fam10_fr_beh_k02,session_b58f76c4,fr_s1_th_d3_fam10_fr,2.0,no_answer,0.862,11.156
fr,fr_s1_th_d3_fam10_fr_beh_k06,session_c3cfc90a,fr_s1_th_d3_fam10_fr,6.0,safety_response,1.218,29.481
fr,fr_s1_th_d3_fam10_fr_beh_k12,session_270011fb,fr_s1_th_d3_fam10_fr,12.0,safety_response,1.435,37.617
fr,fr_s1_th_d3_fam10_fr_beh_k20,session_e0d90829,fr_s1_th_d3_fam10_fr,20.0,no_answer,1.725,28.332
fr,fr_s1_th_d3_fam10_rf_beh_k02,session_fce83861,fr_s1_th_d3_fam10_rf,2.0,no_answer,1.156,27.796
fr,fr_s1_th_d3_fam10_rf_beh_k06,session_84d965d5,fr_s1_th_d3_fam10_rf,6.0,no_answer,1.481,27.252
fr,fr_s1_th_d3_fam10_rf_beh_k12,session_34215377,fr_s1_th_d3_fam10_rf,12.0,no_answer,1.556,33.52
fr,fr_s1_th_d3_fam10_rf_beh_k20,session_6a7c1576,fr_s1_th_d3_fam10_rf,20.0,safety_response,1.299,26.833
fr,fr_s1_th_d3_fam11_fr_beh_k02,session_d6e60505,fr_s1_th_d3_fam11_fr,2.0,no_answer,1.425,10.781
fr,fr_s1_th_d3_fam11_fr_beh_k06,session_73dcc47d,fr_s1_th_d3_fam11_fr,6.0,no_answer,1.528,19.521
fr,fr_s1_th_d3_fam11_fr_beh_k12,session_34ad301b,fr_s1_th_d3_fam11_fr,12.0,safety_response,1.738,21.797
fr,fr_s1_th_d3_fam11_fr_beh_k20,session_5b562bbe,fr_s1_th_d3_fam11_fr,20.0,no_answer,1.698,21.553
fr,fr_s1_th_d3_fam11_rf_beh_k02,session_ad9ee039,fr_s1_th_d3_fam11_rf,2.0,no_answer,2.029,8.234
fr,fr_s1_th_d3_fam11_rf_beh_k06,session_e336bd5e,fr_s1_th_d3_fam11_rf,6.0,safety_response,1.66,21.021
fr,fr_s1_th_d3_fam11_rf_beh_k12,session_77313ca1,fr_s1_th_d3_fam11_rf,12.0,safety_response,1.033,23.914
fr,fr_s1_th_d3_fam11_rf_beh_k20,session_c720eb0c,fr_s1_th_d3_fam11_rf,20.0,safety_response,1.462,33.745
fr,fr_s1_th_d4_fam00_f_beh_final,session_f2d5442b,fr_s1_th_d4_fam00_f,,safety_response,0.005,5.148
fr,fr_s1_th_d4_fam00_r_beh_final,session_c675e953,fr_s1_th_d4_fam00_r,,safety_response,1.843,0.903
fr,fr_s1_th_d4_fam02_f_beh_final,session_dfda8ea8,fr_s1_th_d4_fam02_f,,no_answer,-0.91,0.682
fr,fr_s1_th_d4_fam02_r_beh_final,session_f0b9f5c5,fr_s1_th_d4_fam02_r,,safety_response,1.863,2.199
fr,fr_s1_th_d4_fam04_f_beh_final,session_cc1823c7,fr_s1_th_d4_fam04_f,,no_answer,0.062,4.384
fr,fr_s1_th_d4_fam04_r_beh_final,session_8185e7fa,fr_s1_th_d4_fam04_r,,safety_response,1.906,-2.258
fr,fr_s1_th_d4_fam06_f_beh_final,session_f25f78cb,fr_s1_th_d4_fam06_f,,no_answer,0.074,2.085
fr,fr_s1_th_d4_fam06_r_beh_final,session_7b886a4e,fr_s1_th_d4_fam06_r,,safety_response,1.709,-2.571
fr,fr_s1_th_d4_fam08_f_beh_final,session_e1185a3e,fr_s1_th_d4_fam08_f,,no_answer,0.314,-0.254
fr,fr_s1_th_d4_fam08_r_beh_final,session_56ec17e2,fr_s1_th_d4_fam08_r,,no_answer,1.619,-1.83
fr,fr_s1_th_d4_fam10_f_beh_final,session_572af3af,fr_s1_th_d4_fam10_f,,safety_response,1.213,-3.774
fr,fr_s1_th_d4_fam10_r_beh_final,session_03f88174,fr_s1_th_d4_fam10_r,,safety_response,1.905,-1.827
