set,session,run,k,reading,logprobs,category,auto
tank_d3_fam08_ba_beh_k20,session_386d6436,tank_d3_fam08_ba,20,-0.807,"{""answer_starters"": {""In"": -3.744066, ""The"": -2.275316, ""A"": -7.884691, ""It"": -4.369066}, ""sense_words"": {"" aquarium"": -27.674425, "" vehicle"": -29.11516, "" military"": -27.193041, "" fish"": -26.498949, "" water"": -25.810472, "" armored"": -29.851488}}",aquarium,aquarium
tank_d3_fam09_ab_beh_k02,session_eb00f535,tank_d3_fam09_ab,2,-1.649,"{""answer_starters"": {""In"": -5.669356, ""The"": -2.356857, ""A"": -8.247481, ""It"": -3.138107}, ""sense_words"": {"" aquarium"": -27.613205, "" vehicle"": -29.065842, "" military"": -28.307053, "" fish"": -25.081467, "" water"": -25.093185, "" armored"": -29.587326}}",both,both
tank_d3_fam09_ab_beh_k06,session_4d5fce30,tank_d3_fam09_ab,6,-1.11,"{""answer_starters"": {""In"": -5.159833, ""The"": -2.003583, ""A"": -8.159834, ""It"": -3.581708}, ""sense_words"": {"" aquarium"": -27.47917, "" vehicle"": -28.852217, "" military"": -27.504072, "" fish"": -25.546553, "" water"": -25.242842, "" armored"": -29.265303}}",aquarium,aquarium
tank_d3_fam09_ab_beh_k12,session_c6b64779,tank_d3_fam09_ab,12,-0.961,"{""answer_starters"": {""In"": -6.138776, ""The"": -2.763776, ""A"": -9.232526, ""It"": -5.107526}, ""sense_words"": {"" aquarium"": -28.638533, "" vehicle"": -29.881941, "" military"": -28.56822, "" fish"": -26.958113, "" water"": -26.573347, "" armored"": -31.045027}}",both,both
tank_d3_fam09_ab_beh_k20,session_4c116e85,tank_d3_fam09_ab,20,0.371,"{""answer_starters"": {""In"": -5.006992, ""The"": -2.178867, ""A"": -8.335117, ""It"": -4.085117}, ""sense_words"": {"" aquarium"": -26.751865, "" vehicle"": -27.693516, "" military"": -26.116367, "" fish"": -24.668125, "" water"": -24.456211, "" armored"": -27.782383}}",both,both
tank_d3_fam09_ba_beh_k02,session_56ed6d54,tank_d3_fam09_ba,2,-0.011,"{""answer_starters"": {""In"": -4.164965, ""The"": -1.80559, ""A"": -7.27434, ""It"": -3.27434}, ""sense_words"": {"" aquarium"": -27.358324, "" vehicle"": -26.372484, "" military"": -24.781176, "" fish"": -25.099047, "" water"": -24.665941, "" armored"": -26.880297}}",vehicle,vehicle
tank_d3_fam09_ba_beh_k06,session_76b3a595,tank_d3_fam09_ba,6,0.508,"{""answer_starters"": {""In"": -4.378303, ""The"": -1.503303, ""A"": -8.065803, ""It"": -3.362678}, ""sense_words"": {"" aquarium"": -27.698616, "" vehicle"": -27.253792, "" military"": -24.903694, "" fish"": -25.911263, "" water"": -25.517952, "" armored"": -27.960335}}",vehicle,vehicle
tank_d3_fam09_ba_beh_k12,session_57163343,tank_d3_fam09_ba,12,-0.558,"{""answer_starters"": {""In"": -4.193848, ""The"": -1.771973, ""A"": -7.646973, ""It"": -3.740723}, ""sense_words"": {"" aquarium"": -27.019531, "" vehicle"": -27.402832, "" military"": -25.30127, "" fish"": -25.187988, "" water"": -24.663574, "" armored"": -27.765137}}",vehicle,vehicle
tank_d3_fam09_ba_beh_k20,session_1f7bba36,tank_d3_fam09_ba,20,-1.209,"{""answer_starters"": {""In"": -4.314563, ""The"": -1.861438, ""A"": -7.517688, ""It"": -3.705188}, ""sense_words"": {"" aquarium"": -26.462755, "" vehicle"": -27.847765, "" military"": -26.976793, "" fish"": -24.921984, "" water"": -24.398546, "" armored"": -28.278429}}",no_answer,unclear
tank_d3_fam10_ab_beh_k02,session_306416ed,tank_d3_fam10_ab,2,-1.575,"{""answer_starters"": {""In"": -3.838583, ""The"": -2.697958, ""A"": -7.994833, ""It"": -4.604208}, ""sense_words"": {"" aquarium"": -25.7712, "" vehicle"": -28.77413, "" military"": -27.20577, "" fish"": -24.854208, "" water"": -24.477255, "" armored"": -29.11202}}",no_answer,unclear
tank_d3_fam10_ab_beh_k06,session_c60bfa18,tank_d3_fam10_ab,6,-0.541,"{""answer_starters"": {""In"": -5.620337, ""The"": -3.073462, ""A"": -8.354712, ""It"": -4.807837}, ""sense_words"": {"" aquarium"": -26.973427, "" vehicle"": -29.409401, "" military"": -27.331764, "" fish"": -25.782448, "" water"": -25.215065, "" armored"": -29.448463}}",aquarium,aquarium
tank_d3_fam10_ab_beh_k12,session_85f2d529,tank_d3_fam10_ab,12,0.022,"{""answer_starters"": {""In"": -5.515918, ""The"": -2.656543, ""A"": -7.859668, ""It"": -4.234668}, ""sense_words"": {"" aquarium"": -26.944141, "" vehicle"": -29.453419, "" military"": -27.611866, "" fish"": -25.814747, "" water"": -25.486622, "" armored"": -29.670216}}",both,both
tank_d3_fam10_ab_beh_k20,session_9d228147,tank_d3_fam10_ab,20,0.832,"{""answer_starters"": {""In"": -5.879383, ""The"": -2.520008, ""A"": -8.145008, ""It"": -3.254383}, ""sense_words"": {"" aquarium"": -26.883533, "" vehicle"": -28.748524, "" military"": -26.453724, "" fish"": -25.178211, "" water"": -24.835438, "" armored"": -28.50243}}",aquarium,aquarium
tank_d3_fam10_ba_beh_k02,session_6ea96113,tank_d3_fam10_ba,2,2.365,"{""answer_starters"": {""In"": -4.476059, ""The"": -1.913559, ""A"": -7.491684, ""It"": -2.335434}, ""sense_words"": {"" aquarium"": -26.697739, "" vehicle"": -27.347153, "" military"": -25.25145, "" fish"": -24.931137, "" water"": -24.555161, "" armored"": -26.899887}}",vehicle,vehicle
tank_d3_fam10_ba_beh_k06,session_1c18f4a3,tank_d3_fam10_ba,6,-0.422,"{""answer_starters"": {""In"": -6.028397, ""The"": -2.809646, ""A"": -8.590897, ""It"": -4.669022}, ""sense_words"": {"" aquarium"": -28.080643, "" vehicle"": -29.547928, "" military"": -27.723587, "" fish"": -26.611404, "" water"": -26.209061, "" armored"": -30.188553}}",aquarium,aquarium
tank_d3_fam10_ba_beh_k12,session_ff0cd7df,tank_d3_fam10_ba,12,0.603,"{""answer_starters"": {""In"": -6.305301, ""The"": -3.195926, ""A"": -8.492801, ""It"": -3.461551}, ""sense_words"": {"" aquarium"": -27.402714, "" vehicle"": -28.50745, "" military"": -26.08997, "" fish"": -25.294559, "" water"": -24.908817, "" armored"": -28.983036}}",no_answer,unclear
tank_d3_fam10_ba_beh_k20,session_6e4d4ff6,tank_d3_fam10_ba,20,-1.244,"{""answer_starters"": {""In"": -4.881826, ""The"": -2.381826, ""A"": -7.678701, ""It"": -4.756826}, ""sense_words"": {"" aquarium"": -27.818754, "" vehicle"": -30.219717, "" military"": -27.789343, "" fish"": -26.396475, "" water"": -26.078115, "" armored"": -30.645498}}",aquarium,aquarium
tank_d3_fam11_ab_beh_k02,session_b64ae2bf,tank_d3_fam11_ab,2,-1.336,"{""answer_starters"": {""In"": -3.869016, ""The"": -2.556516, ""A"": -8.306517, ""It"": -4.556516}, ""sense_words"": {"" aquarium"": -25.756712, "" vehicle"": -28.361204, "" military"": -26.962767, "" fish"": -24.749876, "" water"": -24.419798, "" armored"": -28.572142}}",aquarium,aquarium
tank_d3_fam11_ab_beh_k06,session_30602ee4,tank_d3_fam11_ab,6,-0.898,"{""answer_starters"": {""In"": -3.585155, ""The"": -2.50703, ""A"": -8.66328, ""It"": -4.647655}, ""sense_words"": {"" aquarium"": -26.480053, "" vehicle"": -28.454296, "" military"": -26.981152, "" fish"": -25.326366, "" water"": -25.021679, "" armored"": -29.096874}}",aquarium,aquarium
tank_d3_fam11_ab_beh_k12,session_e1d1c149,tank_d3_fam11_ab,12,-0.223,"{""answer_starters"": {""In"": -4.060269, ""The"": -2.654019, ""A"": -8.591519, ""It"": -4.779019}, ""sense_words"": {"" aquarium"": -26.585955, "" vehicle"": -28.661833, "" military"": -26.609571, "" fish"": -25.461637, "" water"": -24.790739, "" armored"": -28.693083}}",aquarium,aquarium
tank_d3_fam11_ab_beh_k20,session_42e221a2,tank_d3_fam11_ab,20,-0.103,"{""answer_starters"": {""In"": -4.505793, ""The"": -2.677668, ""A"": -7.583918, ""It"": -4.021418}, ""sense_words"": {"" aquarium"": -25.130304, "" vehicle"": -27.292902, "" military"": -25.159601, "" fish"": -23.577082, "" water"": -23.205011, "" armored"": -27.295832}}",both,both
tank_d3_fam11_ba_beh_k02,session_7b6be7b5,tank_d3_fam11_ba,2,1.814,"{""answer_starters"": {""In"": -3.082144, ""The"": -1.269644, ""A"": -7.660269, ""It"": -3.316519}, ""sense_words"": {"" aquarium"": -28.078238, "" vehicle"": -27.914175, "" military"": -25.615347, "" fish"": -26.126577, "" water"": -25.584097, "" armored"": -27.638784}}",vehicle,vehicle
tank_d3_fam11_ba_beh_k06,session_d46ee7df,tank_d3_fam11_ba,6,-0.281,"{""answer_starters"": {""In"": -4.295822, ""The"": -2.530197, ""A"": -8.592697, ""It"": -4.545822}, ""sense_words"": {"" aquarium"": -29.165939, "" vehicle"": -29.25383, "" military"": -27.175461, "" fish"": -26.921799, "" water"": -26.824142, "" armored"": -29.858322}}",both,unclear
tank_d3_fam11_ba_beh_k12,session_6e99e4e1,tank_d3_fam11_ba,12,-1.497,"{""answer_starters"": {""In"": -3.605908, ""The"": -1.621533, ""A"": -7.340283, ""It"": -3.434033}, ""sense_words"": {"" aquarium"": -25.552441, "" vehicle"": -27.181103, "" military"": -25.389599, "" fish"": -24.405712, "" water"": -23.809032, "" armored"": -27.806103}}",vehicle,vehicle
tank_d3_fam11_ba_beh_k20,session_c453abfc,tank_d3_fam11_ba,20,-0.906,"{""answer_starters"": {""In"": -4.175766, ""The"": -2.050766, ""A"": -8.035142, ""It"": -4.300766}, ""sense_words"": {"" aquarium"": -26.030258, "" vehicle"": -27.760727, "" military"": -26.406235, "" fish"": -25.198227, "" water"": -24.330063, "" armored"": -28.301743}}",both,both
tank_d4_fam00_a_beh_final,session_f1896c75,tank_d4_fam00_a,d4_final,-1.977,"{""answer_starters"": {""In"": -2.600185, ""The"": -1.303311, ""A"": -8.14706, ""It"": -3.58456}, ""sense_words"": {"" aquarium"": -23.890224, "" vehicle"": -27.816982, "" military"": -26.199795, "" fish"": -23.482998, "" water"": -22.873623, "" armored"": -28.297451}}",aquarium,aquarium
tank_d4_fam00_b_beh_final,session_f3df3802,tank_d4_fam00_b,d4_final,1.484,"{""answer_starters"": {""In"": -5.095788, ""The"": -2.564538, ""A"": -7.564538, ""It"": -3.861413}, ""sense_words"": {"" aquarium"": -27.06942, "" vehicle"": -27.505943, "" military"": -24.791588, "" fish"": -25.113853, "" water"": -24.043053, "" armored"": -26.698326}}",vehicle,vehicle
tank_d4_fam02_a_beh_final,session_c29ded11,tank_d4_fam02_a,d4_final,-2.074,"{""answer_starters"": {""In"": -5.261109, ""The"": -2.511109, ""A"": -8.229859, ""It"": -4.386109}, ""sense_words"": {"" aquarium"": -24.503298, "" vehicle"": -28.622438, "" military"": -27.358767, "" fish"": -23.274782, "" water"": -22.903688, "" armored"": -28.618532}}",both,both
tank_d4_fam02_b_beh_final,session_ccfc71ca,tank_d4_fam02_b,d4_final,2.133,"{""answer_starters"": {""In"": -4.925463, ""The"": -1.409838, ""A"": -9.534838, ""It"": -3.956713}, ""sense_words"": {"" aquarium"": -28.550463, "" vehicle"": -29.024096, "" military"": -26.94475, "" fish"": -26.660326, "" water"": -26.698412, "" armored"": -29.747728}}",vehicle,vehicle
tank_d4_fam04_a_beh_final,session_6a188931,tank_d4_fam04_a,d4_final,-1.88,"{""answer_starters"": {""In"": -3.558956, ""The"": -1.933956, ""A"": -8.902706, ""It"": -4.808956}, ""sense_words"": {"" aquarium"": -26.438595, "" vehicle"": -28.924191, "" military"": -27.35461, "" fish"": -25.36462, "" water"": -25.782589, "" armored"": -29.178097}}",aquarium,aquarium
tank_d4_fam04_b_beh_final,session_a4349794,tank_d4_fam04_b,d4_final,2.477,"{""answer_starters"": {""In"": -4.814107, ""The"": -2.235982, ""A"": -7.970357, ""It"": -3.876607}, ""sense_words"": {"" aquarium"": -26.287619, "" vehicle"": -27.07778, "" military"": -25.110495, "" fish"": -25.135885, "" water"": -24.362936, "" armored"": -26.628561}}",both,both
tank_d4_fam06_a_beh_final,session_5156316c,tank_d4_fam06_a,d4_final,-2.016,"{""answer_starters"": {""In"": -4.006807, ""The"": -1.756807, ""A"": -7.975557, ""It"": -3.913057}, ""sense_words"": {"" aquarium"": -25.572237, "" vehicle"": -28.930635, "" military"": -27.578096, "" fish"": -25.318331, "" water"": -24.538057, "" armored"": -29.213839}}",aquarium,aquarium
tank_d4_fam06_b_beh_final,session_a5090b8d,tank_d4_fam06_b,d4_final,2.152,"{""answer_starters"": {""In"": -3.631042, ""The"": -1.396667, ""A"": -7.646667, ""It"": -4.052917}, ""sense_words"": {"" aquarium"": -27.867371, "" vehicle"": -28.217957, "" military"": -25.132996, "" fish"": -26.372986, "" water"": -25.43573, "" armored"": -28.479675}}",vehicle,vehicle
tank_d4_fam08_a_beh_final,session_eedb9d76,tank_d4_fam08_a,d4_final,-1.925,"{""answer_starters"": {""In"": -3.535256, ""The"": -1.800881, ""A"": -7.925881, ""It"": -3.800881}, ""sense_words"": {"" aquarium"": -25.297953, "" vehicle"": -28.470804, "" military"": -26.835062, "" fish"": -24.618265, "" water"": -23.726664, "" armored"": -28.816507}}",aquarium,aquarium
tank_d4_fam08_b_beh_final,session_52f22582,tank_d4_fam08_b,d4_final,1.578,"{""answer_starters"": {""In"": -4.432417, ""The"": -2.416792, ""A"": -6.698042, ""It"": -4.401167}, ""sense_words"": {"" aquarium"": -27.362837, "" vehicle"": -26.93527, "" military"": -25.573042, "" fish"": -26.265425, "" water"": -25.082808, "" armored"": -27.401411}}",vehicle,vehicle
tank_d4_fam10_a_beh_final,session_610a4caa,tank_d4_fam10_a,d4_final,-2.213,"{""answer_starters"": {""In"": -4.457453, ""The"": -2.051203, ""A"": -8.269953, ""It"": -4.004328}, ""sense_words"": {"" aquarium"": -25.565851, "" vehicle"": -28.869562, "" military"": -27.869562, "" fish"": -24.717218, "" water"": -24.342218, "" armored"": -29.273859}}",aquarium,aquarium
tank_d4_fam10_b_beh_final,session_b54ac573,tank_d4_fam10_b,d4_final,2.777,"{""answer_starters"": {""In"": -5.608394, ""The"": -2.920894, ""A"": -8.342769, ""It"": -2.670894}, ""sense_words"": {"" aquarium"": -27.752926, "" vehicle"": -26.706051, "" military"": -24.088863, "" fish"": -25.517574, "" water"": -25.292477, "" armored"": -26.913082}}",both,unclear
